iter	Passed	Remaining
470	702	789
471	703	787
472	704	785
473	706	783
474	707	781
475	708	779
476	709	777
477	710	775
478	711	773
479	712	771
480	713	770
481	715	768
482	716	766
483	717	764
484	718	762
485	719	760
486	720	758
487	721	757
488	722	755
489	723	753
490	724	751
491	725	749
492	727	747
493	728	746
494	729	744
495	730	742
496	731	740
497	732	738
498	733	736
499	735	735
500	735	733
501	737	731
502	738	729
503	739	727
504	740	725
505	742	724
506	743	722
507	744	721
508	745	719
509	747	718
510	748	716
511	749	714
512	751	712
513	752	711
514	753	709
515	754	707
516	755	706
517	756	704
518	758	702
519	758	700
520	760	698
521	761	696
522	762	695
523	763	693
524	764	691
525	765	689
526	766	688
527	767	686
528	769	684
529	770	683
530	771	681
531	772	679
532	773	678
533	775	676
534	776	674
535	777	672
536	778	670
537	779	669
538	780	667
539	781	665
540	782	663
541	783	662
542	784	660
543	785	658
544	787	657
545	788	655
546	789	653
547	790	652
548	791	650
549	792	648
550	794	647
551	795	645
552	796	643
553	797	641
554	798	640
555	799	638
556	800	636
557	801	635
558	802	633
559	803	631
560	804	629
561	805	628
562	806	626
563	807	624
564	808	622
565	810	621
566	811	619
567	812	617
568	813	616
569	814	614
570	815	612
571	816	611
572	817	609
573	818	607
574	820	606
575	821	604
576	822	602
577	823	601
578	824	599
579	825	597
580	826	595
581	827	594
582	828	592
583	829	591
584	830	589
585	831	587
586	833	586
587	834	584
588	835	582
589	836	581
590	837	579
591	838	577
592	839	576
593	840	574
594	841	573
595	843	571
596	844	570
597	845	568
598	846	566
599	847	565
600	848	563
601	849	561
602	851	560
603	852	558
604	853	556
605	854	555
606	855	553
607	856	552
608	857	550
609	858	549
610	859	547
611	860	545
612	861	544
613	862	542
614	864	541
615	865	539
616	866	537
617	867	536
618	868	534
619	869	533
620	871	531
621	872	530
622	873	528
623	874	526
624	875	525
625	876	523
626	878	522
627	879	520
628	880	519
629	881	517
630	882	515
631	883	514
632	884	512
633	885	511
634	886	509
635	888	508
636	889	506
637	890	505
638	906	511
639	906	510
640	907	508
641	908	506
642	909	504
643	910	503
644	911	501
645	912	499
646	913	498
647	914	496
648	915	494
649	916	493
650	917	491
651	918	490
652	919	488
653	920	487
654	921	485
655	922	483
656	923	482
657	924	480
658	925	479
659	926	477
660	927	475
661	928	474
662	931	473
663	932	471
664	933	470
665	934	468
666	935	467
667	936	465
668	938	464
669	939	462
670	940	461
671	941	459
672	942	457
673	943	456
674	944	454
675	946	453
676	947	452
677	948	450
678	949	448
679	950	447
680	951	445
681	952	444
682	953	442
683	955	441
684	956	439
685	957	438
686	958	436
687	959	435
688	961	433
689	962	432
690	963	430
691	964	429
692	965	427
693	967	426
694	968	424
695	969	423
696	970	421
697	971	420
698	972	418
699	973	417
700	975	416
701	976	414
702	977	413
703	978	411
704	979	409
705	980	408
706	982	407
707	983	405
708	984	404
709	986	402
710	987	401
711	989	400
712	990	398
713	991	397
714	992	395
715	994	394
716	996	393
717	997	391
718	998	390
719	1000	388
720	1001	387
721	1004	386
722	1005	385
723	1006	383
724	1008	382
725	1010	381
726	1012	380
727	1013	378
728	1014	377
729	1015	375
730	1016	374
731	1018	372
732	1021	372
733	1022	370
734	1024	369
735	1026	368
736	1027	366
737	1028	365
738	1029	363
739	1031	362
740	1034	361
741	1035	359
742	1036	358
743	1037	356
744	1038	355
745	1039	353
746	1040	352
747	1042	351
748	1043	349
749	1046	348
750	1050	348
751	1053	347
752	1055	346
753	1056	344
754	1058	343
755	1059	341
756	1061	340
757	1064	339
758	1066	338
759	1069	337
760	1070	336
761	1071	334
762	1073	333
763	1074	332
764	1076	330
765	1080	330
766	1081	328
767	1082	327
768	1084	325
769	1085	324
770	1087	322
771	1088	321
772	1089	319
773	1090	318
774	1092	317
775	1093	315
776	1094	314
777	1096	312
778	1097	311
779	1099	309
780	1100	308
781	1101	307
782	1102	305
783	1103	304
784	1104	302
785	1106	301
786	1109	300
787	1110	298
788	1111	297
789	1113	295
790	1114	294
791	1116	293
792	1117	291
793	1118	290
794	1119	288
795	1120	287
796	1121	285
797	1123	284
798	1124	282
799	1125	281
800	1126	279
801	1128	278
802	1129	277
803	1130	275
804	1132	274
805	1133	272
806	1137	272
807	1140	270
808	1142	269
809	1143	268
810	1145	266
811	1146	265
812	1147	263
813	1148	262
814	1150	261
815	1152	259
816	1153	258
817	1154	256
818	1156	255
819	1157	254
820	1158	252
821	1160	251
822	1162	249
823	1165	248
824	1167	247
825	1169	246
826	1170	244
827	1171	243
828	1173	241
829	1174	240
830	1175	239
831	1176	237
832	1177	236
833	1178	234
834	1179	233
835	1181	231
836	1182	230
837	1184	228
838	1185	227
839	1186	225
840	1187	224
841	1188	223
842	1189	221
843	1190	220
844	1191	218
845	1192	217
846	1196	216
847	1197	214
848	1198	213
849	1200	211
850	1201	210
851	1202	208
852	1203	207
853	1204	206
854	1206	204
855	1207	203
856	1208	201
857	1209	200
858	1211	198
859	1212	197
860	1213	195
861	1214	194
862	1215	192
863	1216	191
864	1219	190
865	1220	188
866	1221	187
867	1223	186
868	1225	184
869	1226	183
870	1227	181
871	1228	180
872	1229	178
873	1230	177
874	1231	175
875	1232	174
876	1233	173
877	1234	171
878	1235	170
879	1237	168
880	1238	167
881	1239	165
882	1241	164
883	1242	163
884	1243	161
885	1244	160
886	1245	158
887	1246	157
888	1247	155
889	1249	154
890	1250	152
891	1251	151
892	1252	150
893	1254	148
894	1255	147
895	1256	145
896	1257	144
897	1258	142
898	1259	141
899	1260	140
900	1261	138
901	1262	137
902	1263	135
903	1265	134
904	1268	133
905	1269	131
906	1271	130
907	1272	128
908	1273	127
909	1274	126
910	1275	124
911	1276	123
912	1277	121
913	1278	120
914	1280	118
915	1281	117
916	1282	116
917	1283	114
918	1284	113
919	1285	111
920	1286	110
921	1287	108
922	1288	107
923	1289	106
924	1290	104
925	1291	103
926	1293	101
927	1294	100
928	1295	99
929	1296	97
930	1297	96
931	1298	94
932	1300	93
933	1301	91
934	1302	90
935	1303	89
936	1304	87
937	1305	86
938	1306	84
939	1307	83
940	1309	82
941	1310	80
942	1311	79
943	1312	77
944	1313	76
945	1314	75
946	1315	73
947	1317	72
948	1318	70
949	1319	69
950	1320	68
951	1321	66
952	1322	65
953	1323	63
954	1324	62
955	1325	61
956	1326	59
957	1327	58
958	1329	56
959	1330	55
960	1331	54
961	1332	52
962	1333	51
963	1334	49
964	1335	48
965	1336	47
966	1339	45
967	1340	44
968	1341	42
969	1342	41
970	1343	40
971	1344	38
972	1345	37
973	1346	35
974	1348	34
975	1349	33
976	1350	31
977	1351	30
978	1352	29
979	1354	27
980	1355	26
981	1356	24
982	1357	23
983	1358	22
984	1359	20
985	1360	19
986	1361	17
987	1362	16
988	1363	15
989	1364	13
990	1365	12
991	1367	11
992	1368	9
993	1369	8
994	1370	6
995	1371	5
996	1372	4
997	1373	2
998	1374	1
999	1375	0
